day_name,hour,nombre_trajets,tarif_moyen,distance_moyenne,vitesse_moyenne,pourboire_pct_moyen
Mardi,23,10623,21.98485644356585,7.41906345983245,26.05445843704574,21.05929500747542
Mercredi,0,6057,24.598636288591724,8.666278629552597,29.230049543296545,20.37445241561797
Mercredi,1,2424,24.015082508250817,8.392402697194715,29.678480591705448,20.08441466926144
Mercredi,2,1475,22.83222372881356,7.9201567774915205,30.035452337140015,19.671888232402047
Mercredi,3,963,27.293665628245066,9.790168378400828,34.02260075839423,17.475719124912263
Mercredi,4,1071,34.28957049486461,12.325049998132586,36.571057619808485,15.911080677511674
Mercredi,5,2840,27.677147887323947,10.140661007535215,30.643409418142877,17.307148824964436
Mercredi,6,7089,20.398032162505288,6.942743612328975,23.89569612841512,18.682216375151395
Mercredi,7,16169,17.335826581730473,5.103936859063667,19.080029590070662,20.328252982130046
Mercredi,8,21951,16.791517470730266,4.433567107575987,15.756521850243608,20.726981634371892
Mercredi,9,23260,17.59267368873606,4.593348338280334,15.510753669152217,20.332158485647696
Mercredi,10,22871,18.403455467622756,4.778631536041295,15.32543491877198,19.87491823460076
Mercredi,11,24140,18.303840513670252,4.644529906561744,14.70584731021754,19.683059822903886
Mercredi,12,25947,18.37296566077003,4.674238001980992,14.748418994028361,19.626328860093384
Mercredi,13,26670,18.806005624296954,4.981458228916418,15.31502906216413,19.700074392579353
Mercredi,14,28779,19.184344487299782,5.1509963470169495,15.158489171251176,19.790463858768987
Mercredi,15,29628,19.290679762386986,5.178213318273283,14.821008206159826,20.077566084362626
Mercredi,16,29542,19.306882743213066,5.275449423708654,15.22884164295466,22.709108793008635
Mercredi,17,33170,17.582198070545694,4.601163707422395,14.801110239969649,23.80473723080849
Mercredi,18,34914,16.42985364037348,4.357446384275673,15.923923309916,24.547544578426677
Mercredi,19,30126,16.98124311226185,4.885827176551846,18.495160984729658,24.46165197531726
Mercredi,20,27672,17.520625180688064,5.238432523583431,20.295376788563257,23.04185758342949
Mercredi,21,26340,17.606532270311302,5.356863543295386,21.358069857272106,23.071090599385986
Mercredi,22,21650,18.58157459584298,5.800341600729819,22.672361542364943,22.55611027511871
Mercredi,23,13631,20.706108869488684,6.814499991856823,25.01018457161015,21.746396817326996
Samedi,0,16336,16.509217066601355,4.838224177105802,20.032100237063187,22.237609501230832
Samedi,1,12367,14.865525188000305,4.22664190167383,20.174791077095666,22.94244811829075
Samedi,2,8636,14.449767253358047,4.156303175428454,20.92004980809864,22.611398692429855
Samedi,3,5338,15.922371674784554,4.7990621305732555,23.131398699429226,96.84203361902605
Samedi,4,2754,19.23928467683369,6.188625224763975,26.274373123787573,19.46287506564981
Samedi,5,1365,29.83323076923078,10.8086811410989,35.405893973531114,17.247159066906875
Samedi,6,2459,24.150406669377794,8.472726788531922,31.71901284897932,16.764596428239024
Samedi,7,4220,21.69520379146919,7.4711817107109075,29.819945752618104,18.519852062016447
Samedi,8,7436,18.303466917697673,5.914610181656821,25.75958567800512,20.046539431249418
Samedi,9,11737,16.579752918122182,5.137123796148949,23.21429560287414,20.406128971194043
Samedi,10,15252,15.592961578809346,4.528373807238415,20.698114110918485,20.91704702157599
Samedi,11,18371,15.539270589516091,4.3501254751946234,19.014295792436986,20.8396147212649
Samedi,12,22168,15.678423403103556,4.255555808534857,17.811866221207474,20.70687655994254
Samedi,13,22309,16.901856649782587,4.595806571939601,17.2574803892092,20.425372034049136
Samedi,14,22771,17.615881603794303,4.843780520837945,17.15571302530535,20.35820913529623
Samedi,15,24313,17.841884588491773,4.827913429959311,16.281606817959315,20.244084490343774
Samedi,16,25979,18.045478270911133,4.84740096587246,15.878256247487078,20.61726654931971
Samedi,17,25341,17.59693658498087,4.587654805035354,15.258249429987172,20.34657111418483
Samedi,18,25755,17.101590370801766,4.359632387544197,15.215746039687087,20.445179262071004
Samedi,19,23837,17.317101564794253,4.466073445475546,15.717792792344165,21.075171822633312
